date time,flight time,phase_no,take off switch,altitude,static pressure,ground speed,ind. air speed,oat,n1 1,n2 1,nr,torque 1,tot 1,oil pressure 1,oil temp. 1,fuel flow,fuel vol.,power
1800-02-11 19:21:55,0.0,-1,0,52.0,1010.3,0.0,0,26,0.0,0,0,2.3,51,0.0,28,58.2,218,22.41
1800-02-11 19:21:57,2.0,1,0,52.0,1010.4,0.0,0,26,1.1,0,0,2.3,51,0.0,28,39.1,213,
1800-02-11 19:21:59,4.0,1,0,51.0,1010.3,0.0,0,26,6.8,0,0,2.3,56,0.0,28,31.7,201,
1800-02-11 19:22:01,6.0,1,0,51.0,1010.3,0.0,0,26,11.6,0,0,2.3,159,0.0,28,19.6,198,
1800-02-11 19:22:03,8.0,1,0,51.0,1010.2,0.0,0,26,15.7,0,0,2.3,352,0.0,28,20.8,198,
1800-02-11 19:22:05,10.0,1,0,51.0,1010.2,0.0,0,26,20.0,0,0,2.3,545,0.4,28,20.2,199,15.59
1800-02-11 19:22:07,12.0,1,0,51.0,1010.3,0.0,0,26,23.2,0,0,2.3,597,0.6,29,21.2,203,
1800-02-11 19:22:09,14.0,1,0,51.0,1010.3,0.0,0,26,26.2,7,0,2.3,606,0.7,29,23.8,207,
1800-02-11 19:22:11,16.0,1,0,50.0,1010.2,0.0,0,26,29.2,15,0,2.3,605,0.9,29,24.5,210,
1800-02-11 19:22:13,18.0,1,0,50.0,1010.3,0.0,0,26,32.0,21,6,2.3,602,1.0,29,26.2,213,
1800-02-11 19:22:15,20.0,1,0,50.0,1010.3,0.0,0,26,34.7,28,22,2.3,599,1.2,30,28.8,214,16.98
1800-02-11 19:22:17,22.0,1,0,49.0,1010.3,0.0,0,26,37.5,37,31,2.3,595,1.3,30,31.2,216,
1800-02-11 19:22:19,24.0,1,0,49.0,1010.3,0.0,0,27,40.5,47,40,2.3,591,1.5,30,33.2,216,
1800-02-11 19:22:21,26.0,1,0,50.0,1010.4,0.0,0,27,44.3,58,52,2.3,583,1.7,31,36.7,217,
1800-02-11 19:22:23,28.0,1,0,51.0,1010.3,0.0,0,26,48.1,73,66,2.3,581,2.0,31,40.6,217,
1800-02-11 19:22:25,30.0,1,0,51.0,1010.4,0.0,0,26,52.1,90,82,2.3,590,2.3,31,44.6,217,23.09
1800-02-11 19:22:27,32.0,1,0,52.0,1010.4,0.0,0,26,56.2,109,101,13.2,587,2.6,31,47.8,218,
1800-02-11 19:22:29,34.0,1,0,52.0,1010.4,0.0,0,26,60.2,129,121,19.4,575,2.9,31,51.6,218,
1800-02-11 19:22:31,36.0,1,0,52.0,1010.4,0.0,0,26,64.8,151,143,22.7,565,3.2,32,56.2,218,
1800-02-11 19:22:33,38.0,1,0,53.0,1010.3,0.0,0,26,67.6,180,170,23.1,538,3.7,32,55.5,218,
